CLIENTE;CPF/CNPJ;CELULAR;ENDEREÇO;VL_TOTAL;VENCTO;OBS;VENDEDOR
MARCOS ANTONIO FERREIRA SILVA;123.456.789-00;(11) 9 8765-4321;Rua das Flores 123;R$ 3.200,00;10/07/2026;parcela 3/5;João
ana paula costa;987.654.321-00;21988880002;Av. Brasil 456;450.50;2026-07-15;boleto enviado;Maria
DISTRIBUIDORA BENTO LTDA;12.345.678/0001-90;(31) 3 9777-0003;Rod. BR-101 Km 45;1.850,00;20-07-2026;aguardando confirmacao;Pedro
Carlos Eduardo Mendes;;41 966660004;Rua XV 789;R$980,00;25.07.2026;cliente vip;João
FERNANDA LIMA E SILVA;456.789.123-00;(51) 95555-0005;Alameda Santos 321;200;29/07/2026;;Maria
Roberto Alves Junior;321.654.987-00;61944440006;Qd 5 Lt 12;R$ 5.600,00;01/08/2026;parcelamento aprovado;Pedro
SUPERMERCADO CENTRAL SA;98.765.432/0001-10;(71)3 8333-0007;Av. Centenario 1000;750,99;05/08/2026;;João
patricia nunes;741.852.963-00;81 97222 0008;Rua do Comercio 55;R$1.200,50;2026-08-10;3x sem juros;Maria
JOSE CARLOS BARBOSA NETO;159.357.486-00;91966660009;Travessa das Acacias 8;VALOR ZERADO;12/08/2026;devolver boleto;Pedro
Luciana Aparecida Rodrigues;258.369.147-00;(11) 97111-0010;Rua Ipiranga 200;R$ 325,00;VENCE EM AGOSTO;pagou parcial;João
FERREIRA & ASSOCIADOS ME;11.222.333/0001-44;1199000001;Sala 304 Ed. Central;3200.00;20/08/2026;;Maria
Diego Henrique;963.852.741-00;(21) 9 8000-0012;Rua Nova 45;R$ 88,00;25/08/2026;frete incluso;Pedro
